2018-10-10 10:11:21,207: |Mouse moved to |(1048, 158)
2018-10-10 10:11:21,223: |Mouse moved to |(1048, 150)
2018-10-10 10:11:21,238: |Mouse moved to |(1048, 143)
2018-10-10 10:11:21,238: |Mouse moved to |(1048, 136)
2018-10-10 10:11:21,254: |Mouse moved to |(1048, 133)
2018-10-10 10:11:21,269: |Mouse moved to |(1048, 131)
2018-10-10 10:11:21,269: |Mouse moved to |(1048, 129)
2018-10-10 10:11:21,285: |Mouse moved to |(1049, 126)
2018-10-10 10:11:21,301: |Mouse moved to |(1050, 121)
2018-10-10 10:11:21,301: |Mouse moved to |(1052, 115)
2018-10-10 10:11:21,316: |Mouse moved to |(1054, 109)
2018-10-10 10:11:21,332: |Mouse moved to |(1057, 100)
2018-10-10 10:11:21,332: |Mouse moved to |(1059, 94)
2018-10-10 10:11:21,347: |Mouse moved to |(1061, 88)
2018-10-10 10:11:21,363: |Mouse moved to |(1062, 82)
2018-10-10 10:11:21,363: |Mouse moved to |(1062, 79)
2018-10-10 10:11:21,379: |Mouse moved to |(1063, 76)
2018-10-10 10:11:21,394: |Mouse moved to |(1064, 75)
2018-10-10 10:11:21,410: |Mouse moved to |(1064, 75)
2018-10-10 10:11:21,425: |Mouse moved to |(1064, 74)
2018-10-10 10:11:21,441: |Mouse moved to |(1065, 73)
2018-10-10 10:11:21,457: |Mouse moved to |(1065, 73)
2018-10-10 10:11:21,472: |Mouse moved to |(1067, 72)
2018-10-10 10:11:21,472: |Mouse moved to |(1068, 72)
2018-10-10 10:11:21,488: |Mouse moved to |(1069, 71)
2018-10-10 10:11:21,503: |Mouse moved to |(1070, 70)
2018-10-10 10:11:21,550: |Mouse moved to |(1071, 69)
2018-10-10 10:11:21,566: |Mouse moved to |(1073, 68)
2018-10-10 10:11:21,581: |Mouse moved to |(1074, 68)
2018-10-10 10:11:21,597: |Mouse moved to |(1075, 67)
2018-10-10 10:11:21,597: |Mouse moved to |(1076, 66)
2018-10-10 10:11:21,613: |Mouse moved to |(1077, 66)
2018-10-10 10:11:21,628: |Mouse moved to |(1078, 66)
2018-10-10 10:11:21,628: |Mouse moved to |(1079, 65)
2018-10-10 10:11:21,659: |Mouse moved to |(1080, 65)
2018-10-10 10:11:21,691: |Mouse moved to |(1081, 64)
2018-10-10 10:11:21,753: |Mouse moved to |(1082, 64)
